created_at,entry_id,field4
2018-09-30 11:01:25 UTC,32173,"93.36
"
2018-09-30 11:07:13 UTC,32174,"93.36
"
2018-09-30 11:13:01 UTC,32175,"93.36
"
2018-09-30 11:18:49 UTC,32176,"93.36
"
2018-09-30 11:24:37 UTC,32177,"93.36
"
2018-09-30 11:30:26 UTC,32178,"93.36
"
2018-09-30 11:36:14 UTC,32179,"93.26
"
2018-09-30 11:42:02 UTC,32180,"93.36
"
2018-09-30 11:47:50 UTC,32181,"93.36
"
2018-09-30 11:53:39 UTC,32182,"93.36
"
2018-09-30 11:59:27 UTC,32183,"93.36
"
2018-09-30 12:05:15 UTC,32184,"93.36
"
2018-09-30 12:11:03 UTC,32185,"93.36
"
2018-09-30 12:16:51 UTC,32186,"93.36
"
2018-09-30 12:22:39 UTC,32187,"93.36
"
2018-09-30 12:28:28 UTC,32188,"93.36
"
2018-09-30 12:34:18 UTC,32189,"93.36
"
2018-09-30 12:40:05 UTC,32190,"93.26
"
2018-09-30 12:45:54 UTC,32191,"93.26
"
2018-09-30 12:51:42 UTC,32192,"93.26
"
2018-09-30 12:57:31 UTC,32193,"93.26
"
2018-09-30 13:03:19 UTC,32194,"93.26
"
2018-09-30 13:09:09 UTC,32195,"93.26
"
2018-09-30 13:14:57 UTC,32196,"93.26
"
2018-09-30 13:20:45 UTC,32197,"93.16
"
2018-09-30 13:26:33 UTC,32198,"93.26
"
2018-09-30 13:32:21 UTC,32199,"93.26
"
2018-09-30 13:38:10 UTC,32200,"93.16
"
2018-09-30 13:43:58 UTC,32201,"93.26
"
2018-09-30 13:49:47 UTC,32202,"93.26
"
2018-09-30 13:55:35 UTC,32203,"93.26
"
2018-09-30 14:01:24 UTC,32204,"93.16
"
2018-09-30 14:07:12 UTC,32205,"93.16
"
2018-09-30 14:13:00 UTC,32206,"93.16
"
2018-09-30 14:17:21 UTC,32207,"93.55
"
2018-09-30 14:23:09 UTC,32208,"93.16
"
2018-09-30 14:28:57 UTC,32209,"93.16
"
2018-09-30 14:34:45 UTC,32210,"93.16
"
2018-09-30 14:40:33 UTC,32211,"93.16
"
2018-09-30 14:46:22 UTC,32212,"93.16
"
2018-09-30 14:52:10 UTC,32213,"93.16
"
2018-09-30 14:58:00 UTC,32214,"93.16
"
2018-09-30 15:03:48 UTC,32215,"93.16
"
2018-09-30 15:06:31 UTC,32216,"92.97
"
2018-09-30 15:12:17 UTC,32217,"92.97
"
2018-09-30 15:18:06 UTC,32218,"92.97
"
2018-09-30 15:23:54 UTC,32219,"92.97
"
2018-09-30 15:29:43 UTC,32220,"92.97
"
2018-09-30 15:35:31 UTC,32221,"92.87
"
2018-09-30 15:41:20 UTC,32222,"92.97
"
2018-09-30 15:47:08 UTC,32223,"92.97
"
2018-09-30 15:52:54 UTC,32224,"92.97
"
2018-09-30 15:58:43 UTC,32225,"92.87
"
2018-09-30 16:04:31 UTC,32226,"92.97
"
2018-09-30 16:10:19 UTC,32227,"92.77
"
2018-09-30 16:16:12 UTC,32228,"92.77
"
2018-09-30 16:21:59 UTC,32229,"92.77
"
2018-09-30 16:27:47 UTC,32230,"92.77
"
2018-09-30 16:33:35 UTC,32231,"92.77
"
2018-09-30 16:39:23 UTC,32232,"92.77
"
2018-09-30 16:45:12 UTC,32233,"92.87
"
2018-09-30 16:51:01 UTC,32234,"92.77
"
2018-09-30 16:56:49 UTC,32235,"92.87
"
2018-09-30 17:02:37 UTC,32236,"92.87
"
2018-09-30 17:08:25 UTC,32237,"92.97
"
2018-09-30 17:14:55 UTC,32238,"93.46
"
2018-09-30 17:20:45 UTC,32239,"93.16
"
2018-09-30 17:26:33 UTC,32240,"93.16
"
2018-09-30 17:32:21 UTC,32241,"92.97
"
2018-09-30 17:38:09 UTC,32242,"92.97
"
2018-09-30 17:43:57 UTC,32243,"92.97
"
2018-09-30 17:49:45 UTC,32244,"93.16
"
2018-09-30 17:55:33 UTC,32245,"92.97
"
2018-09-30 18:01:21 UTC,32246,"92.97
"
2018-09-30 18:07:09 UTC,32247,"92.97
"
2018-09-30 18:12:57 UTC,32248,"92.97
"
2018-09-30 18:18:45 UTC,32249,"92.97
"
2018-09-30 18:24:34 UTC,32250,"92.97
"
2018-09-30 18:30:22 UTC,32251,"92.97
"
2018-09-30 18:36:10 UTC,32252,"92.97
"
2018-09-30 18:41:58 UTC,32253,"92.97
"
2018-09-30 18:47:47 UTC,32254,"92.97
"
2018-09-30 18:53:35 UTC,32255,"92.97
"
2018-09-30 18:59:23 UTC,32256,"92.97
"
2018-09-30 19:05:11 UTC,32257,"92.97
"
2018-09-30 19:11:01 UTC,32258,"92.97
"
2018-09-30 19:16:52 UTC,32259,"92.97
"
2018-09-30 19:22:39 UTC,32260,"92.97
"
2018-09-30 19:28:27 UTC,32261,"92.97
"
2018-09-30 19:34:16 UTC,32262,"92.97
"
2018-09-30 19:40:04 UTC,32263,"92.97
"
2018-09-30 19:45:52 UTC,32264,"92.97
"
2018-09-30 19:51:42 UTC,32265,"93.16
"
2018-09-30 19:57:30 UTC,32266,"93.16
"
2018-09-30 20:03:18 UTC,32267,"93.16
"
2018-09-30 20:09:06 UTC,32268,"93.16
"
2018-09-30 21:16:46 UTC,32269,"93.16
"
2018-09-30 21:22:22 UTC,32270,"92.97
"
2018-09-30 21:28:12 UTC,32271,"92.97
"
2018-09-30 21:34:01 UTC,32272,"92.97
"
