created_at,entry_id,field1,field2,field3,field4,field5,field6,field7
2018-09-29 04:45:58 UTC,31886,,,,"93.36
",,,
2018-09-29 04:52:02 UTC,31887,,,,"93.46
",,,
2018-09-29 04:57:53 UTC,31888,,,,"93.46
",,,
2018-09-29 05:03:42 UTC,31889,,,,"93.46
",,,
2018-09-29 05:09:25 UTC,31890,,,,"93.36
",,,
2018-09-29 05:15:06 UTC,31891,,,,"93.36
",,,
2018-09-29 05:20:58 UTC,31892,,,,"93.36
",,,
2018-09-29 05:26:46 UTC,31893,,,,"93.36
",,,
2018-09-29 05:32:34 UTC,31894,,,,"93.36
",,,
2018-09-29 05:38:21 UTC,31895,,,,"93.46
",,,
2018-09-29 05:44:08 UTC,31896,,,,"93.36
",,,
2018-09-29 05:49:57 UTC,31897,,,,"93.36
",,,
2018-09-29 05:55:47 UTC,31898,,,,"93.36
",,,
2018-09-29 06:01:35 UTC,31899,,,,"93.36
",,,
2018-09-29 06:07:24 UTC,31900,,,,"93.26
",,,
2018-09-29 06:13:13 UTC,31901,,,,"93.26
",,,
2018-09-29 06:18:59 UTC,31902,,,,"93.26
",,,
2018-09-29 06:24:47 UTC,31903,,,,"93.26
",,,
2018-09-29 06:30:35 UTC,31904,,,,"93.26
",,,
2018-09-29 06:36:22 UTC,31905,,,,"93.26
",,,
2018-09-29 06:42:11 UTC,31906,,,,"93.26
",,,
2018-09-29 06:48:00 UTC,31907,,,,"93.16
",,,
2018-09-29 06:53:48 UTC,31908,,,,"93.16
",,,
2018-09-29 06:59:37 UTC,31909,,,,"93.26
",,,
2018-09-29 07:05:28 UTC,31910,,,,"93.16
",,,
2018-09-29 07:11:16 UTC,31911,,,,"93.26
",,,
2018-09-29 07:17:03 UTC,31912,,,,"93.26
",,,
2018-09-29 07:22:52 UTC,31913,,,,"93.26
",,,
2018-09-29 07:28:41 UTC,31914,,,,"93.26
",,,
2018-09-29 07:34:29 UTC,31915,,,,"93.26
",,,
2018-09-29 07:40:20 UTC,31916,,,,"93.26
",,,
2018-09-29 07:46:09 UTC,31917,,,,"93.16
",,,
2018-09-29 07:51:57 UTC,31918,,,,"93.16
",,,
2018-09-29 07:57:45 UTC,31919,,,,"92.97
",,,
2018-09-29 08:03:35 UTC,31920,,,,"93.16
",,,
2018-09-29 08:09:26 UTC,31921,,,,"93.16
",,,
2018-09-29 08:15:15 UTC,31922,,,,"93.26
",,,
2018-09-29 08:21:07 UTC,31923,,,,"93.26
",,,
2018-09-29 08:26:58 UTC,31924,,,,"93.16
",,,
2018-09-29 08:32:46 UTC,31925,,,,"92.87
",,,
2018-09-29 08:38:34 UTC,31926,,,,"92.97
",,,
2018-09-29 08:44:21 UTC,31927,,,,"93.16
",,,
2018-09-29 08:50:10 UTC,31928,,,,"92.87
",,,
2018-09-29 08:55:58 UTC,31929,,,,"92.97
",,,
2018-09-29 09:01:45 UTC,31930,,,,"93.26
",,,
2018-09-29 09:07:33 UTC,31931,,,,"93.16
",,,
2018-09-29 09:13:22 UTC,31932,,,,"93.16
",,,
2018-09-29 09:19:10 UTC,31933,,,,"93.16
",,,
2018-09-29 09:24:59 UTC,31934,,,,"93.16
",,,
2018-09-29 09:30:47 UTC,31935,,,,"92.97
",,,
2018-09-29 09:36:34 UTC,31936,,,,"92.97
",,,
2018-09-29 09:42:22 UTC,31937,,,,"92.97
",,,
2018-09-29 09:48:10 UTC,31938,,,,"92.97
",,,
2018-09-29 09:53:58 UTC,31939,,,,"92.97
",,,
2018-09-29 09:59:47 UTC,31940,,,,"92.87
",,,
2018-09-29 10:05:35 UTC,31941,,,,"92.87
",,,
2018-09-29 10:11:23 UTC,31942,,,,"92.77
",,,
2018-09-29 10:17:12 UTC,31943,,,,"92.87
",,,
2018-09-29 10:23:00 UTC,31944,,,,"92.87
",,,
2018-09-29 10:28:48 UTC,31945,,,,"92.87
",,,
2018-09-29 10:34:36 UTC,31946,,,,"92.97
",,,
2018-09-29 10:40:24 UTC,31947,,,,"92.87
",,,
2018-09-29 10:46:11 UTC,31948,,,,"92.97
",,,
2018-09-29 10:52:00 UTC,31949,,,,"92.77
",,,
2018-09-29 10:57:47 UTC,31950,,,,"92.77
",,,
2018-09-29 11:03:44 UTC,31951,,,,"92.77
",,,
2018-09-29 11:09:29 UTC,31952,,,,"92.77
",,,
2018-09-29 11:15:18 UTC,31953,,,,"92.77
",,,
2018-09-29 11:21:06 UTC,31954,,,,"92.77
",,,
2018-09-29 11:26:54 UTC,31955,,,,"92.77
",,,
2018-09-29 11:32:43 UTC,31956,,,,"92.77
",,,
2018-09-29 11:38:31 UTC,31957,,,,"92.77
",,,
2018-09-29 11:44:20 UTC,31958,,,,"92.77
",,,
2018-09-29 11:50:08 UTC,31959,,,,"92.77
",,,
2018-09-29 11:55:56 UTC,31960,,,,"92.77
",,,
2018-09-29 12:01:45 UTC,31961,,,,"92.77
",,,
2018-09-29 12:07:33 UTC,31962,,,,"92.77
",,,
2018-09-29 12:13:22 UTC,31963,,,,"92.77
",,,
2018-09-29 12:19:10 UTC,31964,,,,"92.77
",,,
2018-09-29 12:24:58 UTC,31965,,,,"92.77
",,,
2018-09-29 12:30:47 UTC,31966,,,,"92.77
",,,
2018-09-29 12:36:35 UTC,31967,,,,"92.77
",,,
2018-09-29 12:42:23 UTC,31968,,,,"92.77
",,,
2018-09-29 12:48:12 UTC,31969,,,,"92.77
",,,
2018-09-29 12:54:00 UTC,31970,,,,"92.77
",,,
2018-09-29 12:59:49 UTC,31971,,,,"92.77
",,,
2018-09-29 13:05:38 UTC,31972,,,,"92.77
",,,
2018-09-29 13:11:26 UTC,31973,,,,"92.77
",,,
2018-09-29 13:17:15 UTC,31974,,,,"92.77
",,,
2018-09-29 13:23:03 UTC,31975,,,,"92.77
",,,
2018-09-29 13:28:51 UTC,31976,,,,"92.87
",,,
2018-09-29 13:34:40 UTC,31977,,,,"92.77
",,,
2018-09-29 13:40:28 UTC,31978,,,,"92.77
",,,
2018-09-29 13:46:16 UTC,31979,,,,"92.77
",,,
2018-09-29 13:52:04 UTC,31980,,,,"92.77
",,,
2018-09-29 13:57:53 UTC,31981,,,,"92.77
",,,
2018-09-29 14:03:41 UTC,31982,,,,"92.77
",,,
2018-09-29 14:09:29 UTC,31983,,,,"92.77
",,,
2018-09-29 14:15:17 UTC,31984,,,,"92.77
",,,
2018-09-29 14:21:05 UTC,31985,,,,"92.77
",,,
